GuestLabel,GuestBookmarkUrl
"BTB Set","https://deeradio.uk/#f=AAAAAAAAAAAAAAAAAAoAIQAFAAAAAAAAAAAAAAAAAAAAAAAAAAQAABAgAAAA&h=bd_-n0_U3f9lHyLuPuW_nH368v_rf9__v_9_fb_1Uxa4h7t-H7AthScU74Yb"
"BTB Set2", "https://deeradio.uk/index.html#h=bV__n0_VXf5__ybuPuW_3H_68v_rf9_-u_9_Xf_1c9a41_v-H7MtBCcU76Yb"
